001	inline	…sperimentalmente che sono proporzionali ai termini ⟦MATH⟧ . Fig.3 Ad esempio se anche la seconda macchina è …	\text{cos}^{2}\frac{\vartheta}{2}\text{ e sen}^{2}\frac{\vartheta}{2}
002	inline	…i hanno intensità proporzionali ai termini ⟦MATH⟧ . Questo vuol dire che ciò che conta è solo l’incl…	\text{cos}^{2}\frac{\vartheta_{2} - \vartheta_{1}}{2}\text{ e sen}^{2}\frac{\vartheta_{2} - \vartheta_{1}}{2}
003	inline	…in due parti di intensità proporzionali ai termini ⟦MATH⟧ . Se si varia l’inclinazione della prima macchina …	\text{cos}^{2}\frac{\vartheta_{3} - \vartheta_{2}}{2}\text{ e sen}^{2}\frac{\vartheta_{3} - \vartheta_{2}}{2}
004	inline	… ottiene che ogni singolo atomo ha una probabilità ⟦MATH⟧ di dare mϑ=+k, ed una probabilità <math display="i…	\text{cos}^{2}\frac{\vartheta}{2}
005	inline	…ation> di dare mϑ=+k, ed una probabilità ⟦MATH⟧ di dare mϑ=-k. In altre parole la nostra interpret…	\text{sen}^{2}\frac{\vartheta}{2}
006	inline	…no due possibili risultati: mϑ=+k, con probabilità ⟦MATH⟧ ed mϑ=-k con probabilità <math display="inline" xm…	\text{cos}^{2}\frac{\vartheta}{2}
007	inline	…2} ed mϑ=-k con probabilità ⟦MATH⟧ . Secondo questa interpretazione il fascio uscente…	\text{sen}^{2}\frac{\vartheta}{2}
008	block	…osizione e la ricombinazione. Riassumendo abbiamo: ⟦MATH⟧ La cosa da osservare è che sovrapponendo due stati…	\begin{array}{r} \text{caso 1} \rightarrow \begin{array}{r} \left\{ m_{0}\text{=+}k\text{ con probabilità 0,5} \middle| \right.\ \end{array} \\ \end{array}
009	inline	…le per le probabilità abbiamo le seguenti formule: ⟦MATH⟧ dove abbiamo introdotto la variabile ϕ=2π∆/λ. Ora …	\begin{array}{r} P_{m_{0}\text{=+}k} = \text{cos}^{2}\frac{\phi}{2} \\ P_{m_{0} = - k} = \text{sen}^{2}\frac{\phi}{2} \end{array}
010	inline	…diamone il modulo quadrato Otteniamo il risultato: ⟦MATH⟧ Ora ripetiamo il tutto partendo dai due n…	\left| 1 + e^{i\phi} \right|^{2} = \left( 2\text{cos}\frac{\phi}{2} \right)^{2} = 4\text{cos}^{2}\frac{\phi}{2}
011	inline	…diamone il modulo quadrato Otteniamo il risultato: ⟦MATH⟧ A questo punto sembra abbastanza chiaro che le pro…	\left| 1 - e^{i\phi} \right|^{2} = \left( 2\text{sen}\frac{\phi}{2} \right)^{2} = 4\text{sen}^{2}\frac{\phi}{2}
012	inline	…primo calcolo ed il numero –1 del secondo calcolo. ⟦MATH⟧ quando sfasiamo lo stato m90=-k moltiplichiamo i s…	\begin{array}{r} \text{stato }m_{\text{90}}\text{=+}k \rightarrow \begin{array}{r} \left( 1 \middle| \right) \\ \end{array} \\ \end{array}
013	inline	…ub>=-k moltiplichiamo i suoi due numeri per eiϕ ⟦MATH⟧ quando sovrapponiamo gli stati, sommiamo le corris…	e^{i\phi}\begin{array}{r} \left( 1 \middle| \right) \\ \end{array}
014	inline	… e lo stato risultante è rappresentato dalla somma ⟦MATH⟧ I moduli quadrati dei numeri trovati danno la dist…	\begin{array}{r} \left( 1 \middle| \right) \\ \end{array}
